Tanı Adı,Sinonimleri,Alt Sınıflandırmaları,Etiyolojiisi,Semptomları,Klinik Özellikleri,Lokalizasyon,Radyolojik Görüntü Özellikleri,Özel Benzetmesi,Özel Notlar,Görüldüğü  Yaş Aralığı,Cinsiyet
Radiküler Kist,"Peiapikal Kist,Apikal Periodontal Kist,Dental Kist",,,,Kistin ostmotik basınçla büyüdüğü düşünülmektedir.Devital dişten kaynaklanır.Yada Geniş restorasyon olan dişlerde.Korteks sağlammsa şişlik kemiksive serttir.Krepitasyon verebilir.Korteks perfore olmuşsa fluktuan hissedilebilir.,Merkezi yaklaşık olarak kökün ucundadır.En sık mandibulada.,Genellikle kortikal sınırlı ve belirgin sınırlıdır.İnternal yapısı radyolusenttir.Uzun süreli kistlerde distrofik kalsifikasyon gelişebilir.,,Nadie vakalarda ilgili dişin köklerini rezorbe edebilir.Yeni kmeik oluşumu lezyonun dışından içine doğru olur diğer osseoz lezyonlardan farklı bir özelliğidir.,//,//
Rezidüel Kist,,,,Sekonder enfeksiyon durumunda ağrı oluşturabilir.,Çenede ekpansiyon olabilir .,Mandibulada az oranda daha sık görülür. Merkezi periapikal bölgededir.Merkezi her zaman inferior alveolar sinirin üzerindedir.,Tipik olarak radyolusenttir.Uzun süreli lezyonlarda distrofik kalsifikasyonlar oluşabilir.,,,,
Dentigeröz Kist,Foliküler Kist,,Bu lezyon genellike gelişimsel lezyon olarak sınıflandırılır .Fakat bazı kanıtlar az sayıdaki vakada inflamasyonun etiyoloji olabileceğini önerir.,,Eksik bir diş veya dişler ve nadiren fasiyal asimetriye sebep olması muhtemel sert bir şişlik fark edilir.Çenenin dış korteksini ekspanse eeder.,En sık anterior maksillada bir mesiodensin etrafında gelişir.,Bu kist mine-sement birleşimine tutunur.Radyolusenttir.,,Dentigeröz kist komşu ve ilgili dişte rezorbsiyona yada yer değiştirmey sebep olabilir. Kist alveolar sinir kanalını inferior yönde yer değiştirmesine sebep olabilir.,,
Bukkal Bifurkasyon Kisti,"Mandibular Enfekte Bukkal Kist, Paradental Kist, İnflamatuar Paradental Kist",,,Ağrı,Mandibulaaar 1. yada 2. molar dişlerin sürmesinde bir gecikme yada eksiklik yaygın birbulgudur.lingual kusp daha yüksekte konumlanabilir.İlgili dişin bukkalinde sert bir şişlik ve sekonder olarak enfekte olursa hastada ağrı olur.Dişler vitaldir. ,Mandibulada sıktır,En yaygın 1. mandibular molar ile ilşkili olur.,,Cross sectional mandibular okluzal projeksiyon optimaldir.,,
Keratokistik Odontojenik Tümör,"Odontojenik Keratokist, Primordial Kist",,,Sekonder enfeksiyon durumunda ağrı oluşturabilir.,Epitel adacıkları sebebiyle uydu mikrositlere sahiptir.İçi epitelden köken alan vizköz yada peynirimsi materyal içerir.Ramusun üst kısmı ve koronoid proçesde dikkate değer ekspansiyon oluşturur.Nadiren rezorbsiyon ve migrasyona sebep olabilir.,"Mandibula>Maksilla , Posterior bölgede sık.","Kortikal sınıra sahiptir ,yuvarlak/oval.",,Yüksek rekürrens eğilimine sahiptir.,10--30.,E>K
Bazal Hücreli Nevus Sendromu,"Nevoid Bazal Hücreli Karsinom, Gorlin Goltz Sendromu",,"Kalıtsal ,otozomal dominant geçişli ,PTCH geninde mutasyon mevcut",,Deride bazal cell nevus karsinomu .Multiple odontojenik keratokistler .İntrakranial kalsifikasyonlar . Kosta ve vertebra anomalileri.Bifid kosta. Odontojenik keratokistler görülür. Frontal temporal kemikler çıkıntılı. ,Mandibula>Maksilla . Premolar ve molar bölgede.,Kalsifiye odaklar mevcuttur.,,,5--30.,//
Lateral Periodontal Kist,,,Diş kökünün lateralinde periodonsiyumda epitel artıklarından köken aldığı düşünülür.,,Genellikle 1cm'den küçüktür.Bu kistler sekonder olarak enfekte olursa lateral periodontal apseye benzerler.,"Mandibula>Maksilla ,Lateral kesiciden 2.premolara kadar uzanan bölgede gelişir.",Genellikle unikistiktir.Oval şekilli. Göze çarpan kortikal ve iyi sınıra sahiptir.Radyolüsenttir .Multiloküler görüntüye sahiptir .,,"Rekürrens riski yoktur ,eksize edilir.",//,//
Glandular Odontojenik Kist,Sialo-odontojenik Kist,,Mukus üretimi yapan hücreler gibi tükürük bezi özelliği nde odontojeni epitelden köken alan nadir bir kisttir.,,"Kortekste perforasyon , çenelerin dış kortikal plağında ekspansiyon.",En sık anteriorda . Mandibula>Anterior.,,,Yüksek rekürrens eğilimine sahiptir.,46--50,K>E
Kalsifiye Kistik Odontojenik Tümör,"Kalsifiye Odontojenk Kist, Kalsifiye Epitelyal Odontojenik Kist,Dentinojenik Ghost Cell Tümör, Gorlin Kisti",,Displastik dentin olarak tanımlanan kalsifiye doku üretimi ve odontoma ilişkili benign lezyon.,,Ekspansif ağrısız şişlik yapar.Kortikal sınıra ulaşırsa palpe edilebilir.Vakaların %20-50'sinde bir dişle ilişkilidir.Yer değiştirme ve kök rezorbsiyonu yapabilir. Kortikal kemikte perforasyon genişlemiş lezyonlarda görülebilir.,"Mandibula=Maksilla ,Genelikle 1. moların anteriorunda oluşur.",Bazen perikoronal radyolusensi olarak görülülebilir.Özellikle küspidler ve kesiciler ile ilişkilidir.Tamamıyle radyolusens yada beyaz benekler(düzenli çakıl taşları) olarak görünen kalsifiye matylin küçük fokusları da olabilir.Büyük solid amorf kütleler olabilir.,,,10--19,
