Tanı Adı,Sinonimleri,Alt Sınıflandırmaları,Etiyolojiisi,Semptomları,Klinik Özellikleri,Lokalizasyon,Radyolojik Görüntü Özellikleri,Özel Benzetmesi,Özel Notlar,Görüldüğü  Yaş Aralığı,Cinsiyet
Perikoronitis ,,,"Gömülü yada kısmi sürmüş dişlerde, gingival felbin altında yiyecek birikmesi ve bakteri etkisiyle meydana gelir.","Şiddetli ağrı, kötü at , çene hareketlerinde zorluk, Eritemli ve ödeli bir saha, LAP, ateş, lökositoz, halsizlik vardır, Anug benzeri lezyonlar oluşturabilir.",Bu flepler semptomsuz olarak uzun süreli kronik inflamasyon gösterebilir.Debris ve bakteri bir araya geldiğinde apse oluştrabilir.,,"Kısa süreli olgularda genellikle kemik tahribatı yoktur, folikül sınırları normaldir, defekt dişin mesial yada distal yüzüyle ilişkilidir. Komşu diş kökünde rezorbsiyon izlenbilir. ",,,,
Osteomyelitis,,,"Kemik iliğinin inflamasyonudur. Etken genellikle stafilokoktur. Diğer piyojen bakteriler de etken olabilirler. İmmün supresyon ,kemikte kalanma bozuklukları, alkol, sigara, malignensi, malnütrisyon, intravenöz ilaç kullanımı. Odontojenik iltihaplar, antrum iltihapları, akut enfeksiyonlarda çekim veya harabiyet, açık çene kırıkları, direne edilmeyenyumuşak doku enfeksiyonları.Nonsteril iğne enjesiyonları, osteoradyonekroz, hematojen osteomyelit.",,,Mandibula>Maksilla,,,Mandibulada daha sık görülme nedenleri; Mandibulada kortikal kemik maksillaya  göre daha kalın olduğundan cerahat drene olmlaz ve spongioz içine yaylır.Mandibular posterior dişlerin soketini çevreleyen emik daha kalın olduğundan bu dişlerin çekimi dahatravmatik olmaktadır. Mandibula damarlanma yönünden maksillaya göre daha fakirdir.,,E>K
Akut Osteomyelit,,,,"Şiddetli ağrı, LAP, ateş, yüz ve boyunda selülit, Dişetleri kızarık ve ödemli, alt dudakta parestezi olabilir. ","Geniş alanlı kemik nekrozları, dişlerin sallanmasına ve dişeti ceplerinde cerahat akmasına sebep olur.",Mandibula>Maksilla,"Sınırları belirgin olmayan radyolusent alan, nekrotk kemiğin vital kemikten ayrıldığı sekestr oluşabilir.",,Nekrotik kemiğin vital kemikle çevrilmiş olması nadirdir. Buduruma involcrum denir.,,
Garre Osteomyelit,"Osteomyelitis Sicca, Kronik Non-supuratif Sklerozan Osteomyelit, Proliferatif Periostitis",,"Düşük şiddetteki infeksiyon veya irritasyona karşı periostta oluşan masif okal kalınlaşma.Çürük dişler, periodontal hastalıklar, diş çekimleri, yumuşak doku enfeksiyonları, idiopatik.",,,Mandibula>Maksilla. Ensık1. molar dişin apsesinden kaynaklı.,"Genellikle unilateral, Korteksin dış yüzeyinde fokal kemik kalınlaşması kolayca görülür. Ardışık yeni kemik depozisyonları görülür. Genellikle mikst görünümde. Dişin apikali radyolüsent.",Soğan Kabuğu,,<25,K>E
Osteoradyonekroz,Radyasyon Osteomyeliti,,,,,,,,,,
Aktinomikoz,,,,,,,,,,,
Çene Aktinomikozu,Aktinomikotik Osteomyelit,,,,,,,,,,
